Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,G004.fsa,G016.fsa,G073.fsa,G093.fsa,H011.fsa,H130.fsa,L070.fsa,L117.fsa,V002.fsa,V008.fsa,V050.fsa,V116.fsa
fbpC2,fbpC2,Fe(3+) ions import ATP-binding protein FbpC 2,12,12,1.0,1,12359,,,,1038,1038,1038.0,BEOABDLH_05264,IGIKDAHF_04911,DPGEGJOO_04626,MPBMMNBG_05045,INCINKBK_05205,AAIMJHFH_05702,CEOONHHG_04813,NAIMLHBL_05141,FBJECBCC_04652,DHFEOIJP_04932,EGPCAGCP_04663,FIDFLPKG_05069
group_7822,,hypothetical protein,12,12,1.0,1,12358,,,,510,513,511.75,BEOABDLH_03220,IGIKDAHF_02839,DPGEGJOO_02576,MPBMMNBG_02897,INCINKBK_03121,AAIMJHFH_03668,CEOONHHG_02563,NAIMLHBL_02647,FBJECBCC_02600,DHFEOIJP_02873,EGPCAGCP_02612,FIDFLPKG_02942
group_7821,,hypothetical protein,12,12,1.0,1,12357,,,,393,393,393.0,BEOABDLH_03218,IGIKDAHF_02837,DPGEGJOO_02574,MPBMMNBG_02895,INCINKBK_03119,AAIMJHFH_03666,CEOONHHG_02561,NAIMLHBL_02645,FBJECBCC_02598,DHFEOIJP_02871,EGPCAGCP_02610,FIDFLPKG_02940
lgoR_1,lgoR_1,putative HTH-type transcriptional regulator LgoR,12,12,1.0,1,12356,,,,900,900,900.0,BEOABDLH_01072,IGIKDAHF_00748,DPGEGJOO_00608,MPBMMNBG_00964,INCINKBK_01099,AAIMJHFH_01525,CEOONHHG_00555,NAIMLHBL_00605,FBJECBCC_00644,DHFEOIJP_00821,EGPCAGCP_00618,FIDFLPKG_00850
gshB,gshB,Glutathione synthetase,12,12,1.0,1,12355,,,,948,948,948.0,BEOABDLH_00882,IGIKDAHF_00545,DPGEGJOO_00418,MPBMMNBG_00681,INCINKBK_00890,AAIMJHFH_01335,CEOONHHG_00320,NAIMLHBL_00402,FBJECBCC_00454,DHFEOIJP_00618,EGPCAGCP_00416,FIDFLPKG_00656
hutI,hutI,Imidazolonepropionase,12,12,1.0,1,12354,,,,1263,1263,1263.0,BEOABDLH_06093,IGIKDAHF_05707,DPGEGJOO_06086,MPBMMNBG_05813,INCINKBK_05923,AAIMJHFH_06310,CEOONHHG_05751,NAIMLHBL_05944,FBJECBCC_05514,DHFEOIJP_05831,EGPCAGCP_05973,FIDFLPKG_06237
group_7820,,hypothetical protein,12,12,1.0,1,12353,,,,1200,1200,1200.0,BEOABDLH_03201,IGIKDAHF_02821,DPGEGJOO_02557,MPBMMNBG_02879,INCINKBK_03102,AAIMJHFH_03649,CEOONHHG_02544,NAIMLHBL_02629,FBJECBCC_02581,DHFEOIJP_02855,EGPCAGCP_02593,FIDFLPKG_02923
group_7819,,hypothetical protein,12,12,1.0,1,12352,,,,558,558,558.0,BEOABDLH_03440,IGIKDAHF_03062,DPGEGJOO_02797,MPBMMNBG_03117,INCINKBK_03355,AAIMJHFH_03885,CEOONHHG_02784,NAIMLHBL_02871,FBJECBCC_02821,DHFEOIJP_03104,EGPCAGCP_02832,FIDFLPKG_03164
dgkA,dgkA,Diacylglycerol kinase,12,12,1.0,1,12351,,,,384,390,386.5,BEOABDLH_03442,IGIKDAHF_03064,DPGEGJOO_02799,MPBMMNBG_03119,INCINKBK_03357,AAIMJHFH_03887,CEOONHHG_02786,NAIMLHBL_02873,FBJECBCC_02823,DHFEOIJP_03106,EGPCAGCP_02834,FIDFLPKG_03166
fbpA,fbpA,Fe(3+)-binding periplasmic protein,12,12,1.0,1,12350,,,,1017,1023,1021.0,BEOABDLH_05266,IGIKDAHF_04913,DPGEGJOO_04628,MPBMMNBG_05047,INCINKBK_05207,AAIMJHFH_05704,CEOONHHG_04815,NAIMLHBL_05143,FBJECBCC_04654,DHFEOIJP_04934,EGPCAGCP_04665,FIDFLPKG_05071
group_7818,,hypothetical protein,12,12,1.0,1,12349,,,,528,528,528.0,BEOABDLH_05293,IGIKDAHF_04942,DPGEGJOO_04656,MPBMMNBG_05074,INCINKBK_05236,AAIMJHFH_05731,CEOONHHG_04842,NAIMLHBL_05172,FBJECBCC_04682,DHFEOIJP_04963,EGPCAGCP_04693,FIDFLPKG_05098
rbsC_7~~~rbsC_6,rbsC_7;rbsC_6,Ribose import permease protein RbsC,12,12,1.0,1,12348,,,,996,996,996.0,BEOABDLH_02645,IGIKDAHF_02345,DPGEGJOO_02074,MPBMMNBG_02407,INCINKBK_02522,AAIMJHFH_03146,CEOONHHG_02068,NAIMLHBL_02096,FBJECBCC_02099,DHFEOIJP_02379,EGPCAGCP_02121,FIDFLPKG_02442
cra,cra,Catabolite repressor/activator,12,12,1.0,1,12347,,,,1059,1059,1059.0,BEOABDLH_06679,IGIKDAHF_05982,DPGEGJOO_06466,MPBMMNBG_06066,INCINKBK_06283,AAIMJHFH_07224,CEOONHHG_06380,NAIMLHBL_05973,FBJECBCC_05896,DHFEOIJP_06159,EGPCAGCP_06237,FIDFLPKG_06724
nifD_1~~~nifD_2,nifD_1;nifD_2,Nitrogenase molybdenum-iron protein alpha chain,12,12,1.0,1,12346,,,,1497,1506,1505.25,BEOABDLH_05541,IGIKDAHF_05135,DPGEGJOO_04879,MPBMMNBG_05273,INCINKBK_05402,AAIMJHFH_08036,CEOONHHG_05457,NAIMLHBL_05359,FBJECBCC_04904,DHFEOIJP_05222,EGPCAGCP_00015,FIDFLPKG_05562
nifD_2~~~nifD_1,nifD_2;nifD_1,Nitrogenase molybdenum-iron protein alpha chain,12,12,1.0,1,12345,,,,1398,1422,1420.0,BEOABDLH_05539,IGIKDAHF_05133,DPGEGJOO_04877,MPBMMNBG_05271,INCINKBK_05400,AAIMJHFH_08038,CEOONHHG_05455,NAIMLHBL_05357,FBJECBCC_04902,DHFEOIJP_05220,EGPCAGCP_00013,FIDFLPKG_05564
group_7817,mglB,D-galactose-binding periplasmic protein,12,12,1.0,1,12344,,,,930,930,930.0,BEOABDLH_05338,IGIKDAHF_04986,DPGEGJOO_04701,MPBMMNBG_05117,INCINKBK_05281,AAIMJHFH_05776,CEOONHHG_04888,NAIMLHBL_05216,FBJECBCC_04727,DHFEOIJP_05007,EGPCAGCP_04738,FIDFLPKG_05143
emrA_2~~~emrA_1~~~emrA_5,emrA_2;emrA_1;emrA_5,Colistin resistance protein EmrA,12,12,1.0,1,12343,,,,1230,1230,1230.0,BEOABDLH_04489,IGIKDAHF_04152,DPGEGJOO_03840,MPBMMNBG_04206,INCINKBK_04410,AAIMJHFH_04961,CEOONHHG_04037,NAIMLHBL_04032,FBJECBCC_03865,DHFEOIJP_04156,EGPCAGCP_03887,FIDFLPKG_04230
group_7816,,Putative 3-methyladenine DNA glycosylase,12,12,1.0,1,12342,,,,615,618,616.25,BEOABDLH_04487,IGIKDAHF_04150,DPGEGJOO_03838,MPBMMNBG_04204,INCINKBK_04408,AAIMJHFH_04959,CEOONHHG_04035,NAIMLHBL_04030,FBJECBCC_03863,DHFEOIJP_04154,EGPCAGCP_03885,FIDFLPKG_04228
group_7815,,hypothetical protein,12,12,1.0,1,12341,,,,921,954,940.25,BEOABDLH_02001,IGIKDAHF_01686,DPGEGJOO_01478,MPBMMNBG_01782,INCINKBK_01897,AAIMJHFH_02434,CEOONHHG_01466,NAIMLHBL_01529,FBJECBCC_01502,DHFEOIJP_01677,EGPCAGCP_01524,FIDFLPKG_01778
group_7814,,hypothetical protein,12,12,1.0,1,12340,,,,495,495,495.0,BEOABDLH_01999,IGIKDAHF_01684,DPGEGJOO_01476,MPBMMNBG_01780,INCINKBK_01895,AAIMJHFH_02432,CEOONHHG_01464,NAIMLHBL_01527,FBJECBCC_01500,DHFEOIJP_01675,EGPCAGCP_01522,FIDFLPKG_01776
group_7813,,hypothetical protein,12,12,1.0,1,12339,,,,1347,1347,1347.0,BEOABDLH_01543,IGIKDAHF_01235,DPGEGJOO_01073,MPBMMNBG_01420,INCINKBK_01566,AAIMJHFH_01997,CEOONHHG_01021,NAIMLHBL_01073,FBJECBCC_01108,DHFEOIJP_01279,EGPCAGCP_01123,FIDFLPKG_01367
rpoH_2,rpoH_2,RNA polymerase sigma factor RpoH,12,12,1.0,1,12337,,,,864,960,904.0,BEOABDLH_05296,IGIKDAHF_04945,DPGEGJOO_04659,MPBMMNBG_05077,INCINKBK_05239,AAIMJHFH_05734,CEOONHHG_04845,NAIMLHBL_05175,FBJECBCC_04685,DHFEOIJP_04966,EGPCAGCP_04696,FIDFLPKG_05101
leuB,leuB,3-isopropylmalate dehydrogenase,12,12,1.0,1,12336,,,,1113,1113,1113.0,BEOABDLH_05380,IGIKDAHF_05029,DPGEGJOO_04743,MPBMMNBG_05160,INCINKBK_05330,AAIMJHFH_05818,CEOONHHG_04930,NAIMLHBL_05259,FBJECBCC_04769,DHFEOIJP_05054,EGPCAGCP_04780,FIDFLPKG_05185
group_7812,,hypothetical protein,12,12,1.0,1,12335,,,,1857,1857,1857.0,BEOABDLH_04736,IGIKDAHF_04408,DPGEGJOO_04088,MPBMMNBG_04532,INCINKBK_04703,AAIMJHFH_05210,CEOONHHG_04286,NAIMLHBL_04358,FBJECBCC_04113,DHFEOIJP_04435,EGPCAGCP_04136,FIDFLPKG_04548
group_7811,,hypothetical protein,12,12,1.0,1,12334,,,,1797,1800,1798.25,BEOABDLH_04734,IGIKDAHF_04406,DPGEGJOO_04086,MPBMMNBG_04530,INCINKBK_04701,AAIMJHFH_05208,CEOONHHG_04284,NAIMLHBL_04356,FBJECBCC_04111,DHFEOIJP_04433,EGPCAGCP_04134,FIDFLPKG_04546
group_7810,,hypothetical protein,12,12,1.0,1,12333,,,,789,972,814.25,BEOABDLH_03124,IGIKDAHF_02746,DPGEGJOO_02486,MPBMMNBG_02802,INCINKBK_03036,AAIMJHFH_03573,CEOONHHG_02469,NAIMLHBL_02554,FBJECBCC_02510,DHFEOIJP_02786,EGPCAGCP_02517,FIDFLPKG_02847
group_7809,,hypothetical protein,12,12,1.0,1,12332,,,,645,645,645.0,BEOABDLH_06886,IGIKDAHF_06239,DPGEGJOO_05345,MPBMMNBG_06328,INCINKBK_06528,AAIMJHFH_07431,CEOONHHG_06581,NAIMLHBL_06230,FBJECBCC_06099,DHFEOIJP_06411,EGPCAGCP_06432,FIDFLPKG_06928
lysDH,lysDH,Lysine 6-dehydrogenase,12,12,1.0,1,12331,,,,1083,1113,1090.5,BEOABDLH_00921,IGIKDAHF_00586,DPGEGJOO_00458,MPBMMNBG_00723,INCINKBK_00936,AAIMJHFH_01374,CEOONHHG_00404,NAIMLHBL_00443,FBJECBCC_00494,DHFEOIJP_00665,EGPCAGCP_00469,FIDFLPKG_00695
yedA_1,yedA_1,putative inner membrane transporter YedA,12,12,1.0,1,12330,,,,915,1044,930.25,BEOABDLH_00970,IGIKDAHF_00636,DPGEGJOO_00507,MPBMMNBG_00776,INCINKBK_00986,AAIMJHFH_01423,CEOONHHG_00453,NAIMLHBL_00493,FBJECBCC_00543,DHFEOIJP_00716,EGPCAGCP_00518,FIDFLPKG_00745
qorA_2,qorA_2,Quinone oxidoreductase 1,12,12,1.0,1,12328,,,,981,981,981.0,BEOABDLH_03020,IGIKDAHF_02620,DPGEGJOO_02383,MPBMMNBG_02698,INCINKBK_02908,AAIMJHFH_03469,CEOONHHG_02363,NAIMLHBL_02373,FBJECBCC_02407,DHFEOIJP_02661,EGPCAGCP_02413,FIDFLPKG_02742
group_7807,,hypothetical protein,12,12,1.0,1,12327,,,,474,474,474.0,BEOABDLH_01831,IGIKDAHF_01489,DPGEGJOO_01309,MPBMMNBG_01575,INCINKBK_01686,AAIMJHFH_02259,CEOONHHG_01298,NAIMLHBL_01328,FBJECBCC_01346,DHFEOIJP_00179,EGPCAGCP_01378,FIDFLPKG_01629
ubiE,ubiE,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,12,12,1.0,1,12323,,,,777,777,777.0,BEOABDLH_00916,IGIKDAHF_00581,DPGEGJOO_00453,MPBMMNBG_00718,INCINKBK_00931,AAIMJHFH_01369,CEOONHHG_00399,NAIMLHBL_00438,FBJECBCC_00489,DHFEOIJP_00660,EGPCAGCP_00464,FIDFLPKG_00690
group_7804,hutH_1,Histidine ammonia-lyase,12,12,1.0,1,12322,,,,1587,1587,1587.0,BEOABDLH_00914,IGIKDAHF_00579,DPGEGJOO_00451,MPBMMNBG_00716,INCINKBK_00929,AAIMJHFH_01367,CEOONHHG_00397,NAIMLHBL_00436,FBJECBCC_00487,DHFEOIJP_00658,EGPCAGCP_00462,FIDFLPKG_00688
malL_2,malL_2,Oligo-16-glucosidase;Oligo-16-glucosidase 1,12,12,1.0,1,12320,,,,1647,1647,1647.0,BEOABDLH_04235,IGIKDAHF_03899,DPGEGJOO_03588,MPBMMNBG_03931,INCINKBK_04161,AAIMJHFH_04707,CEOONHHG_03773,NAIMLHBL_03783,FBJECBCC_03614,DHFEOIJP_03910,EGPCAGCP_03635,FIDFLPKG_03978
group_7803,,hypothetical protein,12,12,1.0,1,12319,,,,855,855,855.0,BEOABDLH_04883,IGIKDAHF_04552,DPGEGJOO_04251,MPBMMNBG_04680,INCINKBK_04845,AAIMJHFH_05356,CEOONHHG_04436,NAIMLHBL_04502,FBJECBCC_04276,DHFEOIJP_04576,EGPCAGCP_04285,FIDFLPKG_04694
pgrR_5~~~pgrR_4~~~dmlR_3~~~dmlR_6,pgrR_5;pgrR_4;dmlR_3;dmlR_6,HTH-type transcriptional regulator PgrR;HTH-type transcriptional regulator DmlR,12,12,1.0,1,12318,,,,891,891,891.0,BEOABDLH_00892,IGIKDAHF_00557,DPGEGJOO_00429,MPBMMNBG_00693,INCINKBK_00906,AAIMJHFH_01345,CEOONHHG_00375,NAIMLHBL_00414,FBJECBCC_00465,DHFEOIJP_00633,EGPCAGCP_00440,FIDFLPKG_00666
dut,dut,Deoxyuridine 5'-triphosphate nucleotidohydrolase,12,12,1.0,1,12317,,,,471,513,478.0,BEOABDLH_00890,IGIKDAHF_00555,DPGEGJOO_00427,MPBMMNBG_00691,INCINKBK_00904,AAIMJHFH_01343,CEOONHHG_00373,NAIMLHBL_00412,FBJECBCC_00463,DHFEOIJP_00631,EGPCAGCP_00438,FIDFLPKG_00664
group_7800,,hypothetical protein,12,12,1.0,1,12314,,,,204,204,204.0,BEOABDLH_05227,IGIKDAHF_04866,DPGEGJOO_04590,MPBMMNBG_05000,INCINKBK_05166,AAIMJHFH_05666,CEOONHHG_04776,NAIMLHBL_05095,FBJECBCC_04616,DHFEOIJP_04888,EGPCAGCP_04627,FIDFLPKG_05032
serC,serC,Phosphoserine aminotransferase,12,12,1.0,1,12309,,,,1179,1179,1179.0,BEOABDLH_04627,IGIKDAHF_04288,DPGEGJOO_03980,MPBMMNBG_04425,INCINKBK_04548,AAIMJHFH_05099,CEOONHHG_04178,NAIMLHBL_04238,FBJECBCC_04005,DHFEOIJP_04297,EGPCAGCP_04027,FIDFLPKG_04439
group_7797,,hypothetical protein,12,12,1.0,1,12308,,,,267,267,267.0,BEOABDLH_04625,IGIKDAHF_04286,DPGEGJOO_03978,MPBMMNBG_04423,INCINKBK_04546,AAIMJHFH_05097,CEOONHHG_04176,NAIMLHBL_04236,FBJECBCC_04003,DHFEOIJP_04295,EGPCAGCP_04025,FIDFLPKG_04437
lutR_1,lutR_1,HTH-type transcriptional regulator LutR,12,12,1.0,1,12307,,,,711,711,711.0,BEOABDLH_02982,IGIKDAHF_02595,DPGEGJOO_02333,MPBMMNBG_02665,INCINKBK_02884,AAIMJHFH_03430,CEOONHHG_02325,NAIMLHBL_02349,FBJECBCC_02357,DHFEOIJP_02639,EGPCAGCP_02378,FIDFLPKG_02707
emrA_1~~~emrA_6,emrA_1;emrA_6,Colistin resistance protein EmrA,12,12,1.0,1,12305,,,,1203,1212,1211.25,BEOABDLH_04852,IGIKDAHF_04525,DPGEGJOO_04220,MPBMMNBG_04655,INCINKBK_04819,AAIMJHFH_05325,CEOONHHG_04405,NAIMLHBL_04475,FBJECBCC_04245,DHFEOIJP_04550,EGPCAGCP_04254,FIDFLPKG_04663
purR_2~~~purR_1,purR_2;purR_1,HTH-type transcriptional repressor PurR,12,12,1.0,1,12304,,,,1026,1026,1026.0,BEOABDLH_04850,IGIKDAHF_04523,DPGEGJOO_04218,MPBMMNBG_04653,INCINKBK_04817,AAIMJHFH_05323,CEOONHHG_04403,NAIMLHBL_04473,FBJECBCC_04243,DHFEOIJP_04548,EGPCAGCP_04252,FIDFLPKG_04661
gsiC_12~~~gsiC_14,gsiC_12;gsiC_14,Glutathione transport system permease protein GsiC,12,12,1.0,1,12303,,,,918,918,918.0,BEOABDLH_06821,IGIKDAHF_06151,DPGEGJOO_05281,MPBMMNBG_06247,INCINKBK_06453,AAIMJHFH_07366,CEOONHHG_06522,NAIMLHBL_06142,FBJECBCC_06036,DHFEOIJP_06327,EGPCAGCP_06380,FIDFLPKG_06865
group_7795,,hypothetical protein,12,12,1.0,1,12302,,,,873,873,873.0,BEOABDLH_02700,IGIKDAHF_02403,DPGEGJOO_02131,MPBMMNBG_02454,INCINKBK_02580,AAIMJHFH_03202,CEOONHHG_02124,NAIMLHBL_02155,FBJECBCC_02156,DHFEOIJP_02435,EGPCAGCP_02177,FIDFLPKG_02499
group_7794,,hypothetical protein,12,12,1.0,1,12301,,,,519,519,519.0,BEOABDLH_03161,IGIKDAHF_02784,DPGEGJOO_02517,MPBMMNBG_02841,INCINKBK_03066,AAIMJHFH_03609,CEOONHHG_02505,NAIMLHBL_02592,FBJECBCC_02541,DHFEOIJP_02818,EGPCAGCP_02553,FIDFLPKG_02883
mmsB,mmsB,putative 3-hydroxyisobutyrate dehydrogenase,12,12,1.0,1,12300,,,,882,882,882.0,BEOABDLH_06295,IGIKDAHF_05863,DPGEGJOO_06245,MPBMMNBG_05951,INCINKBK_06087,AAIMJHFH_06557,CEOONHHG_06052,NAIMLHBL_05628,FBJECBCC_05674,DHFEOIJP_06015,EGPCAGCP_05586,FIDFLPKG_06441
group_7793,,hypothetical protein,12,12,1.0,1,12299,,,,207,312,230.75,BEOABDLH_03366,IGIKDAHF_02989,DPGEGJOO_02723,MPBMMNBG_03044,INCINKBK_03276,AAIMJHFH_03811,CEOONHHG_02710,NAIMLHBL_02798,FBJECBCC_02747,DHFEOIJP_03028,EGPCAGCP_02756,FIDFLPKG_03090
group_7792,,hypothetical protein,12,12,1.0,1,12298,,,,828,834,832.5,BEOABDLH_03364,IGIKDAHF_02987,DPGEGJOO_02721,MPBMMNBG_03042,INCINKBK_03274,AAIMJHFH_03809,CEOONHHG_02708,NAIMLHBL_02796,FBJECBCC_02745,DHFEOIJP_03026,EGPCAGCP_02754,FIDFLPKG_03088
gpr_2,gpr_2,L-glyceraldehyde 3-phosphate reductase,12,12,1.0,1,12295,,,,1032,1032,1032.0,BEOABDLH_03452,IGIKDAHF_03074,DPGEGJOO_02809,MPBMMNBG_03129,INCINKBK_03367,AAIMJHFH_03897,CEOONHHG_02796,NAIMLHBL_02883,FBJECBCC_02833,DHFEOIJP_03116,EGPCAGCP_02844,FIDFLPKG_03176
yadG,yadG,putative ABC transporter ATP-binding protein YadG,12,12,1.0,1,12294,,,,927,981,940.5,BEOABDLH_03450,IGIKDAHF_03072,DPGEGJOO_02807,MPBMMNBG_03127,INCINKBK_03365,AAIMJHFH_03895,CEOONHHG_02794,NAIMLHBL_02881,FBJECBCC_02831,DHFEOIJP_03114,EGPCAGCP_02842,FIDFLPKG_03174
pip_1,pip_1,Proline iminopeptidase,12,12,1.0,1,12293,,,,963,963,963.0,BEOABDLH_02165,IGIKDAHF_01859,DPGEGJOO_01643,MPBMMNBG_01948,INCINKBK_02063,AAIMJHFH_02599,CEOONHHG_01630,NAIMLHBL_01701,FBJECBCC_01667,DHFEOIJP_01845,EGPCAGCP_01688,FIDFLPKG_01944
rsmB_2,rsmB_2,Ribosomal RNA small subunit methyltransferase B,12,12,1.0,1,12292,,,,1383,1383,1383.0,BEOABDLH_05397,IGIKDAHF_05044,DPGEGJOO_04760,MPBMMNBG_05177,INCINKBK_05345,AAIMJHFH_05835,CEOONHHG_04947,NAIMLHBL_05275,FBJECBCC_04786,DHFEOIJP_05069,EGPCAGCP_04797,FIDFLPKG_05202
purH,purH,Bifunctional purine biosynthesis protein PurH,12,12,1.0,1,12291,,,,1617,1617,1617.0,BEOABDLH_05395,IGIKDAHF_05042,DPGEGJOO_04758,MPBMMNBG_05175,INCINKBK_05343,AAIMJHFH_05833,CEOONHHG_04945,NAIMLHBL_05273,FBJECBCC_04784,DHFEOIJP_05067,EGPCAGCP_04795,FIDFLPKG_05200
fmdA,fmdA,Formamidase,12,12,1.0,1,12288,,,,945,945,945.0,BEOABDLH_06337,IGIKDAHF_05910,DPGEGJOO_06287,MPBMMNBG_05998,INCINKBK_06144,AAIMJHFH_06599,CEOONHHG_06094,NAIMLHBL_05675,FBJECBCC_05716,DHFEOIJP_06073,EGPCAGCP_05634,FIDFLPKG_06483
group_7785,,hypothetical protein,12,12,1.0,1,12284,,,,330,330,330.0,BEOABDLH_07318,IGIKDAHF_06774,DPGEGJOO_06596,MPBMMNBG_06867,INCINKBK_07030,AAIMJHFH_08149,CEOONHHG_07052,NAIMLHBL_06780,FBJECBCC_06557,DHFEOIJP_06913,EGPCAGCP_06959,FIDFLPKG_07472
group_7784,,hypothetical protein,12,12,1.0,1,12283,,,,876,924,920.0,BEOABDLH_01910,IGIKDAHF_01585,DPGEGJOO_01387,MPBMMNBG_01686,INCINKBK_01799,AAIMJHFH_02344,CEOONHHG_01377,NAIMLHBL_01426,FBJECBCC_01411,DHFEOIJP_01583,EGPCAGCP_01435,FIDFLPKG_01686
